fips,county,state,lon,lat,rMapState,rMapCounty
1063,Greene County,AL,-87.94813999,32.86570101,alabama,greene
1065,Hale County,AL,-87.62219763,32.76490176,alabama,hale
1067,Henry County,AL,-85.2541057,31.51595712,alabama,henry
1069,Houston County,AL,-85.31543021,31.15254068,alabama,houston
1071,Jackson County,AL,-85.99775089,34.77683646,alabama,jackson
1073,Jefferson County,AL,-86.89025434,33.56305784,alabama,jefferson
1075,Lamar County,AL,-88.09795652,33.78170368,alabama,lamar
1077,Lauderdale County,AL,-87.65420478,34.90408733,alabama,lauderdale
1079,Lawrence County,AL,-87.30558826,34.52482237,alabama,lawrence
1081,Lee County,AL,-85.35526336,32.60991751,alabama,lee
1083,Limestone County,AL,-86.97369268,34.81222508,alabama,limestone
1085,Lowndes County,AL,-86.65003578,32.15780715,alabama,lowndes
1087,Macon County,AL,-85.69511359,32.39385812,alabama,macon
1089,Madison County,AL,-86.54312668,34.76518768,alabama,madison
1091,Marengo County,AL,-87.77831202,32.25123243,alabama,marengo
1093,Marion County,AL,-87.88319784,34.13791708,alabama,marion
1095,Marshall County,AL,-86.30606724,34.370296,alabama,marshall
1097,Mobile County,AL,-88.20696476,30.81361759,alabama,mobile
1099,Monroe County,AL,-87.36400237,31.57220015,alabama,monroe
1101,Montgomery County,AL,-86.2071019,32.2253798,alabama,montgomery
1103,Morgan County,AL,-86.84793577,34.45799994,alabama,morgan
1105,Perry County,AL,-87.28406573,32.63755143,alabama,perry
1107,Pickens County,AL,-88.08688718,33.28043537,alabama,pickens
1109,Pike County,AL,-85.94178756,31.80547499,alabama,pike
1111,Randolph County,AL,-85.4565992,33.29417484,alabama,randolph
1113,Russell County,AL,-85.19410539,32.29519985,alabama,russell
1115,St. Clair County,AL,-86.31393064,33.72446506,alabama,st clair
1117,Shelby County,AL,-86.66510363,33.26761124,alabama,shelby
1119,Sumter County,AL,-88.19206323,32.58961948,alabama,sumter
1121,Talladega County,AL,-86.1631135,33.3865307,alabama,talladega
1123,Tallapoosa County,AL,-85.8010116,32.86843413,alabama,tallapoosa
1125,Tuscaloosa County,AL,-87.51696088,33.29437697,alabama,tuscaloosa
1127,Walker County,AL,-87.28917888,33.81329044,alabama,walker
1129,Washington County,AL,-88.2056405,31.41319608,alabama,washington
1131,Wilcox County,AL,-87.2977354,31.99307576,alabama,wilcox
1133,Winston County,AL,-87.37003595,34.15314922,alabama,winston
4001,Apache County,AZ,-109.4911465,35.4050949,arizona,apache
4003,Cochise County,AZ,-109.7629489,31.88631155,arizona,cochise
4005,Coconino County,AZ,-111.76825,35.83392392,arizona,coconino
4007,Gila County,AZ,-110.8133077,33.79957115,arizona,gila
4009,Graham County,AZ,-109.8990184,32.93441503,arizona,graham
4011,Greenlee County,AZ,-109.2466206,33.20886115,arizona,greenlee
4013,Maricopa County,AZ,-112.4891389,33.35263707,arizona,maricopa
4015,Mohave County,AZ,-113.7530226,35.70647702,arizona,mohave
4017,Navajo County,AZ,-110.3227634,35.39276591,arizona,navajo
4019,Pima County,AZ,-111.8001696,32.10501296,arizona,pima
4021,Pinal County,AZ,-111.3518741,32.90667665,arizona,pinal
4023,Santa Cruz County,AZ,-110.8630803,31.53600577,arizona,santa cruz
4025,Yavapai County,AZ,-112.5499732,34.59798155,arizona,yavapai
4027,Yuma County,AZ,-113.9078575,32.77978162,arizona,yuma
5001,Arkansas County,AR,-91.37334862,34.29669057,arkansas,arkansas
5003,Ashley County,AR,-91.7718601,33.18646631,arkansas,ashley
5005,Baxter County,AR,-92.34346141,36.2916046,arkansas,baxter
5007,Benton County,AR,-94.26402599,36.34167755,arkansas,benton
5009,Boone County,AR,-93.08863785,36.30918328,arkansas,boone
5011,Bradley County,AR,-92.16599707,33.46463041,arkansas,bradley
5013,Calhoun County,AR,-92.51042418,33.55396653,arkansas,calhoun
5015,Carroll County,AR,-93.54763094,36.33781409,arkansas,carroll
5017,Chicot County,AR,-91.29630665,33.26091752,arkansas,chicot
5019,Clark County,AR,-93.17439489,34.05703316,arkansas,clark
5021,Clay County,AR,-90.42501648,36.37179616,arkansas,clay
5023,Cleburne County,AR,-92.04132081,35.52982647,arkansas,cleburne
5025,Cleveland County,AR,-92.18129679,33.89957956,arkansas,cleveland
5027,Columbia County,AR,-93.22920976,33.21548897,arkansas,columbia
5029,Conway County,AR,-92.69835872,35.25373435,arkansas,conway
5031,Craighead County,AR,-90.6430341,35.82915721,arkansas,craighead
5033,Crawford County,AR,-94.25175754,35.5843972,arkansas,crawford
5035,Crittenden County,AR,-90.30149903,35.20144073,arkansas,crittenden
5037,Cross County,AR,-90.77551081,35.28915734,arkansas,cross
5039,Dallas County,AR,-92.64901096,33.97069263,arkansas,dallas
5041,Desha County,AR,-91.27147343,33.83234098,arkansas,desha
5043,Drew County,AR,-91.72331533,33.58639516,arkansas,drew
5045,Faulkner County,AR,-92.33094352,35.14224253,arkansas,faulkner
5047,Franklin County,AR,-93.89830963,35.50546758,arkansas,franklin
5049,Fulton County,AR,-91.82490566,36.37956836,arkansas,fulton
5051,Garland County,AR,-93.14444412,34.57644159,arkansas,garland
5053,Grant County,AR,-92.42539288,34.29749043,arkansas,grant
5055,Greene County,AR,-90.55983788,36.11619833,arkansas,greene
5057,Hempstead County,AR,-93.66853507,33.73577783,arkansas,hempstead
5059,Hot Spring County,AR,-92.9384467,34.32236611,arkansas,hot spring
5061,Howard County,AR,-93.99788332,34.09553668,arkansas,howard
5063,Independence County,AR,-91.5785779,35.73542151,arkansas,independence
5065,Izard County,AR,-91.9243404,36.08622486,arkansas,izard
5067,Jackson County,AR,-91.22316384,35.59122045,arkansas,jackson
5069,Jefferson County,AR,-91.93175235,34.27586793,arkansas,jefferson
5071,Johnson County,AR,-93.47142181,35.5632314,arkansas,johnson
5073,Lafayette County,AR,-93.60666142,33.23929763,arkansas,lafayette
5075,Lawrence County,AR,-91.1179187,36.03754262,arkansas,lawrence
5077,Lee County,AR,-90.77401809,34.78294893,arkansas,lee
5079,Lincoln County,AR,-91.72609781,33.96344474,arkansas,lincoln
5081,Little River County,AR,-94.24316887,33.70943008,arkansas,little river
5083,Logan County,AR,-93.72428698,35.21063233,arkansas,logan
5085,Lonoke County,AR,-91.89113355,34.75678213,arkansas,lonoke
5087,Madison County,AR,-93.73086152,36.00389701,arkansas,madison
5089,Marion County,AR,-92.68189387,36.26366237,arkansas,marion
5091,Miller County,AR,-93.89572104,33.31893465,arkansas,miller
5093,Mississippi County,AR,-90.05540172,35.75570531,arkansas,mississippi
5095,Monroe County,AR,-91.20856742,34.67577812,arkansas,monroe
5097,Montgomery County,AR,-93.65831855,34.54772903,arkansas,montgomery
5099,Nevada County,AR,-93.3071694,33.66371797,arkansas,nevada
5101,Newton County,AR,-93.22041269,35.9112378,arkansas,newton
5103,Ouachita County,AR,-92.88709996,33.59759164,arkansas,ouachita
5105,Perry County,AR,-92.9415163,34.94234579,arkansas,perry
5107,Phillips County,AR,-90.85023789,34.43593202,arkansas,phillips
5109,Pike County,AR,-93.65884171,34.17130511,arkansas,pike
5111,Poinsett County,AR,-90.66737356,35.56784271,arkansas,poinsett
5113,Polk County,AR,-94.23785272,34.49701429,arkansas,polk
5115,Pope County,AR,-93.03339602,35.44081908,arkansas,pope
5117,Prairie County,AR,-91.55385063,34.83173761,arkansas,prairie
5119,Pulaski County,AR,-92.3127229,34.77183315,arkansas,pulaski
5121,Randolph County,AR,-91.0407469,36.34581173,arkansas,randolph
5123,St. Francis County,AR,-90.76062982,35.01549435,arkansas,st francis
5125,Saline County,AR,-92.67230801,34.65007785,arkansas,saline
5127,Scott County,AR,-94.0745859,34.86653654,arkansas,scott
5129,Searcy County,AR,-92.69877886,35.9044191,arkansas,searcy
5131,Sebastian County,AR,-94.28039312,35.2038252,arkansas,sebastian
5133,Sevier County,AR,-94.25270738,34.00088746,arkansas,sevier
5135,Sharp County,AR,-91.49387343,36.15308598,arkansas,sharp
5137,Stone County,AR,-92.16095128,35.85321963,arkansas,stone
5139,Union County,AR,-92.6011337,33.17079784,arkansas,union
5141,Van Buren County,AR,-92.52627345,35.57365455,arkansas,van buren
5143,Washington County,AR,-94.22168881,35.97609413,arkansas,washington
5145,White County,AR,-91.74561822,35.25271047,arkansas,white
5147,Woodruff County,AR,-91.24639277,35.1818549,arkansas,woodruff
5149,Yell County,AR,-93.41370271,35.00455982,arkansas,yell
6001,Alameda County,CA,-121.8494943,37.64653745,california,alameda
6003,Alpine County,CA,-119.8176648,38.59540533,california,alpine
6005,Amador County,CA,-120.6408645,38.45256542,california,amador
6007,Butte County,CA,-121.6007712,39.66723394,california,butte
6009,Calaveras County,CA,-120.5530165,38.20920689,california,calaveras
6011,Colusa County,CA,-122.2414946,39.18270042,california,colusa
6013,Contra Costa County,CA,-121.9166794,37.91861075,california,contra costa
6015,Del Norte County,CA,-123.9036495,41.76026868,california,del norte
6017,El Dorado County,CA,-120.5285454,38.78075659,california,el dorado
6019,Fresno County,CA,-119.6410355,36.75367786,california,fresno
6021,Glenn County,CA,-122.3912787,39.60512352,california,glenn
6023,Humboldt County,CA,-123.875444,40.70745304,california,humboldt
6025,Imperial County,CA,-115.3751413,33.044716,california,imperial
6027,Inyo County,CA,-117.4184965,36.51635004,california,inyo
6029,Kern County,CA,-118.728692,35.34162905,california,kern
6031,Kings County,CA,-119.8055367,36.06644424,california,kings
6033,Lake County,CA,-122.7625711,39.10908218,california,lake
6035,Lassen County,CA,-120.6006906,40.6874673,california,lassen
6037,Los Angeles County,CA,-118.2127419,34.36995693,california,los angeles
6039,Madera County,CA,-119.7624132,37.21357187,california,madera
6041,Marin County,CA,-122.695332,38.07104975,california,marin
6043,Mariposa County,CA,-119.8983572,37.58055949,california,mariposa
6045,Mendocino County,CA,-123.3848961,39.45640061,california,mendocino
6047,Merced County,CA,-120.7210913,37.18523452,california,merced
6049,Modoc County,CA,-120.7383261,41.60846865,california,modoc
6051,Mono County,CA,-118.8873505,37.93876612,california,mono
6053,Monterey County,CA,-121.2123651,36.20884676,california,monterey
6055,Napa County,CA,-122.3382312,38.5091312,california,napa
6057,Nevada County,CA,-120.7703875,39.30407464,california,nevada
6059,Orange County,CA,-117.7532706,33.71695588,california,orange
6061,Placer County,CA,-120.7165927,39.06660908,california,placer
6063,Plumas County,CA,-120.8496506,40.01530534,california,plumas
6065,Riverside County,CA,-116.0093191,33.74562148,california,riverside
6067,Sacramento County,CA,-121.3375098,38.45135776,california,sacramento
6069,San Benito County,CA,-121.0694853,36.60208872,california,san benito
6071,San Bernardino County,CA,-116.1729363,34.84516502,california,san bernardino
6073,San Diego County,CA,-116.7201884,33.04014595,california,san diego
6075,San Francisco County,CA,-122.4065487,37.753324,california,san francisco
6077,San Joaquin County,CA,-121.267813,37.94072224,california,san joaquin
6079,San Luis Obispo County,CA,-120.3724419,35.37930666,california,san luis obispo
6081,San Mateo County,CA,-122.2981593,37.43682908,california,san mateo
6083,Santa Barbara County,CA,-120.0109748,34.73351459,california,santa barbara
6085,Santa Clara County,CA,-121.6922741,37.23001509,california,santa clara
6087,Santa Cruz County,CA,-121.9949539,37.06602684,california,santa cruz
6089,Shasta County,CA,-122.0548272,40.7799972,california,shasta
6091,Sierra County,CA,-120.5112098,39.58248975,california,sierra
6093,Siskiyou County,CA,-122.5630896,41.60363418,california,siskiyou
6095,Solano County,CA,-121.9219016,38.27890842,california,solano
6097,Sonoma County,CA,-122.8763292,38.53307783,california,sonoma
6099,Stanislaus County,CA,-120.9973429,37.55780347,california,stanislaus
6101,Sutter County,CA,-121.6901719,39.03449176,california,sutter
6103,Tehama County,CA,-122.2457912,40.136481,california,tehama
6105,Trinity County,CA,-123.1281275,40.67365441,california,trinity
6107,Tulare County,CA,-118.7919929,36.2181266,california,tulare
6109,Tuolumne County,CA,-119.9555891,38.02884135,california,tuolumne
6111,Ventura County,CA,-119.0715239,34.4901459,california,ventura
6113,Yolo County,CA,-121.9048414,38.69168043,california,yolo
6115,Yuba County,CA,-121.3526605,39.26511003,california,yuba
8001,Adams County,CO,-104.3365344,39.88028614,colorado,adams
8003,Alamosa County,CO,-105.7997549,37.55690135,colorado,alamosa
8005,Arapahoe County,CO,-104.339408,39.65267576,colorado,arapahoe
8007,Archuleta County,CO,-107.0327286,37.18456623,colorado,archuleta
8009,Baca County,CO,-102.5639865,37.312686,colorado,baca
8011,Bent County,CO,-103.0792154,37.94298305,colorado,bent
8013,Boulder County,CO,-105.354227,40.09364667,colorado,boulder
8015,Chaffee County,CO,-106.2033264,38.74802139,colorado,chaffee
8017,Cheyenne County,CO,-102.6115899,38.82638965,colorado,cheyenne
8019,Clear Creek County,CO,-105.6467822,39.68706248,colorado,clear creek
8021,Conejos County,CO,-106.192383,37.18870441,colorado,conejos
8023,Costilla County,CO,-105.4358878,37.27630646,colorado,costilla
8025,Crowley County,CO,-103.7831903,38.32291386,colorado,crowley
8027,Custer County,CO,-105.3701473,38.10391569,colorado,custer
8029,Delta County,CO,-107.8766654,38.84646747,colorado,delta
8031,Denver County,CO,-104.8705058,39.76100539,colorado,denver
8033,Dolores County,CO,-108.5002451,37.75553541,colorado,dolores
8035,Douglas County,CO,-104.9250215,39.32489342,colorado,douglas
8037,Eagle County,CO,-106.6999413,39.62008124,colorado,eagle
8039,Elbert County,CO,-104.1335614,39.28755239,colorado,elbert
8041,El Paso County,CO,-104.5174584,38.82498969,colorado,el paso
8043,Fremont County,CO,-105.4398007,38.46735868,colorado,fremont
8045,Garfield County,CO,-107.9079181,39.59662685,colorado,garfield
8047,Gilpin County,CO,-105.5256161,39.86089762,colorado,gilpin
8049,Grand County,CO,-106.1216606,40.09826703,colorado,grand
8051,Gunnison County,CO,-107.0410982,38.66187528,colorado,gunnison
8053,Hinsdale County,CO,-107.3025769,37.82836587,colorado,hinsdale
8055,Huerfano County,CO,-104.9609139,37.68542184,colorado,huerfano
8057,Jackson County,CO,-106.352509,40.66740757,colorado,jackson
8059,Jefferson County,CO,-105.2485531,39.59053015,colorado,jefferson
8061,Kiowa County,CO,-102.7448022,38.42212342,colorado,kiowa
8063,Kit Carson County,CO,-102.6070306,39.31065495,colorado,kit carson
8065,Lake County,CO,-106.352012,39.19376761,colorado,lake
8067,La Plata County,CO,-107.8382974,37.28274935,colorado,la plata
8069,Larimer County,CO,-105.4687623,40.67448521,colorado,larimer
8071,Las Animas County,CO,-104.0497746,37.3032026,colorado,las animas
8073,Lincoln County,CO,-103.5149652,38.99023918,colorado,lincoln
8075,Logan County,CO,-103.1089239,40.73000082,colorado,logan
8077,Mesa County,CO,-108.4651654,39.01825676,colorado,mesa
8079,Mineral County,CO,-106.9295796,37.66123804,colorado,mineral
8081,Moffat County,CO,-108.2034554,40.62238429,colorado,moffat
8083,Montezuma County,CO,-108.6085941,37.34436472,colorado,montezuma
8085,Montrose County,CO,-108.2772365,38.39521767,colorado,montrose
8087,Morgan County,CO,-103.8052271,40.27235597,colorado,morgan
8089,Otero County,CO,-103.7199232,37.89510404,colorado,otero
8091,Ouray County,CO,-107.7714717,38.15473079,colorado,ouray
8093,Park County,CO,-105.7200314,39.11945862,colorado,park
8095,Phillips County,CO,-102.3661026,40.59689024,colorado,phillips
8097,Pitkin County,CO,-106.9170748,39.21251239,colorado,pitkin
8099,Prowers County,CO,-102.3977836,37.94586088,colorado,prowers
8101,Pueblo County,CO,-104.5069877,38.16838452,colorado,pueblo
8103,Rio Blanco County,CO,-108.2123329,39.98053803,colorado,rio blanco
8105,Rio Grande County,CO,-106.3910742,37.57267113,colorado,rio grande
8107,Routt County,CO,-106.9946646,40.49306371,colorado,routt
8109,Saguache County,CO,-106.2813821,38.07254193,colorado,saguache
8111,San Juan County,CO,-107.676552,37.75865387,colorado,san juan
8113,San Miguel County,CO,-108.4147717,37.99977501,colorado,san miguel
8115,Sedgwick County,CO,-102.3589707,40.87777204,colorado,sedgwick
8117,Summit County,CO,-106.1220381,39.62638227,colorado,summit
8119,Teller County,CO,-105.1583132,38.87939897,colorado,teller
8121,Washington County,CO,-103.1987696,39.97702595,colorado,washington
8123,Weld County,CO,-104.3898997,40.56234574,colorado,weld
8125,Yuma County,CO,-102.4246163,40.00668563,colorado,yuma
9001,Fairfield County,CT,-73.39231314,41.28133269,connecticut,fairfield
9003,Hartford County,CT,-72.7322188,41.80491927,connecticut,hartford
9005,Litchfield County,CT,-73.25150549,41.79594241,connecticut,litchfield
9007,Middlesex County,CT,-72.53260082,41.46561004,connecticut,middlesex
9009,New Haven County,CT,-72.92743105,41.41196642,connecticut,new haven
9011,New London County,CT,-72.09802642,41.48927969,connecticut,new london
9013,Tolland County,CT,-72.33707029,41.85916105,connecticut,tolland
9015,Windham County,CT,-71.98253222,41.83421666,connecticut,windham
10001,Kent County,DE,-75.57387647,39.08765398,delaware,kent
10003,New Castle County,DE,-75.65519125,39.58335752,delaware,new castle
10005,Sussex County,DE,-75.40668896,38.66573496,delaware,sussex
11001,District of Columbia,DC,-77.0340992,38.91078737,district of columbia,washington
12001,Alachua County,FL,-82.357751,29.66917793,florida,alachua
12003,Baker County,FL,-82.28134256,30.32406664,florida,baker
12005,Bay County,FL,-85.62432688,30.29532713,florida,bay
12007,Bradford County,FL,-82.17025208,29.94253418,florida,bradford
12009,Brevard County,FL,-80.75797736,28.17757196,florida,brevard
12011,Broward County,FL,-80.49868694,26.14255998,florida,broward
12013,Calhoun County,FL,-85.21358719,30.4146682,florida,calhoun
12015,Charlotte County,FL,-81.89022705,26.9042579,florida,charlotte
12017,Citrus County,FL,-82.45738098,28.85025043,florida,citrus
12019,Clay County,FL,-81.8454228,29.97157462,florida,clay
12021,Collier County,FL,-81.35667537,26.11400201,florida,collier
12023,Columbia County,FL,-82.62115508,30.21276594,florida,columbia
12086,Miami-Dade County,FL,-80.58750196,25.60789485,florida,miami-dade
12027,DeSoto County,FL,-81.84804122,27.18256275,florida,de soto
12029,Dixie County,FL,-83.15632586,29.60918676,florida,dixie
12031,Duval County,FL,-81.6658339,30.31514695,florida,duval
12033,Escambia County,FL,-87.39657433,30.7209762,florida,escambia
12035,Flagler County,FL,-81.31543056,29.45995484,florida,flagler
12037,Franklin County,FL,-84.80046505,29.91230768,florida,franklin
12039,Gadsden County,FL,-84.62046856,30.58010526,florida,gadsden
12041,Gilchrist County,FL,-82.80311778,29.72378408,florida,gilchrist
12043,Glades County,FL,-81.21348091,26.9472777,florida,glades
12045,Gulf County,FL,-85.24715852,29.95849768,florida,gulf
12047,Hamilton County,FL,-82.9353807,30.48728224,florida,hamilton
12049,Hardee County,FL,-81.81120596,27.49021668,florida,hardee
12051,Hendry County,FL,-81.17260251,26.5383539,florida,hendry
12053,Hernando County,FL,-82.43249983,28.55569756,florida,hernando
12055,Highlands County,FL,-81.336228,27.34477902,florida,highlands
12057,Hillsborough County,FL,-82.30823576,27.92836425,florida,hillsborough
12059,Holmes County,FL,-85.82645708,30.8856803,florida,holmes
12061,Indian River County,FL,-80.61554726,27.68305593,florida,indian river
12063,Jackson County,FL,-85.22699975,30.79919469,florida,jackson
12065,Jefferson County,FL,-83.88813554,30.43942925,florida,jefferson
12067,Lafayette County,FL,-83.18194356,29.98493348,florida,lafayette
12069,Lake County,FL,-81.69965559,28.75018418,florida,lake
12071,Lee County,FL,-81.80314198,26.58010818,florida,lee
12073,Leon County,FL,-84.27342715,30.46085222,florida,leon
12075,Levy County,FL,-82.7325523,29.32414747,florida,levy
12077,Liberty County,FL,-84.89480631,30.24904583,florida,liberty
12079,Madison County,FL,-83.45989063,30.44046068,florida,madison
12081,Manatee County,FL,-82.30352611,27.47235365,florida,manatee
12083,Marion County,FL,-82.05455176,29.2032406,florida,marion
12085,Martin County,FL,-80.38623141,27.07777033,florida,martin
12087,Monroe County,FL,-81.07024951,25.53393405,florida,monroe
12089,Nassau County,FL,-81.82363634,30.60042431,florida,nassau
12091,Okaloosa County,FL,-86.6027942,30.73988971,florida,okaloosa
12093,Okeechobee County,FL,-80.89421811,27.42833786,florida,okeechobee
12095,Orange County,FL,-81.30712545,28.50158052,florida,orange
12097,Osceola County,FL,-81.15003932,28.05709152,florida,osceola
12099,Palm Beach County,FL,-80.5130172,26.68903661,florida,palm beach
12101,Pasco County,FL,-82.39747099,28.30971247,florida,pasco
12103,Pinellas County,FL,-82.73108941,27.94859889,florida,pinellas
12105,Polk County,FL,-81.69746902,27.94356526,florida,polk
12107,Putnam County,FL,-81.74323328,29.59927624,florida,putnam
12109,St. Johns County,FL,-81.42856734,29.89377829,florida,st johns
12111,St. Lucie County,FL,-80.48022634,27.37042575,florida,st lucie
12113,Santa Rosa County,FL,-87.03013891,30.74563142,florida,santa rosa
12115,Sarasota County,FL,-82.35044075,27.1778329,florida,sarasota
12117,Seminole County,FL,-81.22082815,28.70280099,florida,seminole
12119,Sumter County,FL,-82.07723731,28.69131589,florida,sumter
12121,Suwannee County,FL,-82.98542973,30.18977208,florida,suwannee
12123,Taylor County,FL,-83.60089606,30.04932972,florida,taylor
12125,Union County,FL,-82.37031412,30.04162969,florida,union
12127,Volusia County,FL,-81.18945025,29.05247796,florida,volusia
12129,Wakulla County,FL,-84.40945473,30.17558002,florida,wakulla
12131,Walton County,FL,-86.17177883,30.67216876,florida,walton
12133,Washington County,FL,-85.68366894,30.62671676,florida,washington
13001,Appling County,GA,-82.31025777,31.74411958,georgia,appling
13003,Atkinson County,GA,-82.90032432,31.27799683,georgia,atkinson
13005,Bacon County,GA,-82.47997428,31.54316247,georgia,bacon
13007,Baker County,GA,-84.46534455,31.31018507,georgia,baker
13009,Baldwin County,GA,-83.25406891,33.06896354,georgia,baldwin
13011,Banks County,GA,-83.49414841,34.35258578,georgia,banks
13013,Barrow County,GA,-83.72180609,33.99139508,georgia,barrow
13015,Bartow County,GA,-84.85525287,34.22976581,georgia,bartow
13017,Ben Hill County,GA,-83.2547462,31.76062657,georgia,ben hill
13019,Berrien County,GA,-83.24322327,31.2669614,georgia,berrien
13021,Bibb County,GA,-83.71742693,32.81375908,georgia,bibb
13023,Bleckley County,GA,-83.35841506,32.43552522,georgia,bleckley
13025,Brantley County,GA,-81.99989521,31.19216796,georgia,brantley
13027,Brooks County,GA,-83.60014413,30.83790577,georgia,brooks
13029,Bryan County,GA,-81.44874909,32.0198707,georgia,bryan
13031,Bulloch County,GA,-81.74823365,32.40252008,georgia,bulloch
13033,Burke County,GA,-82.00541411,33.06229074,georgia,burke
13035,Butts County,GA,-83.96189287,33.28383161,georgia,butts
13037,Calhoun County,GA,-84.64198964,31.51612463,georgia,calhoun
13039,Camden County,GA,-81.69346239,30.94021106,georgia,camden
13043,Candler County,GA,-82.08760936,32.4052116,georgia,candler
13045,Carroll County,GA,-85.08566727,33.57598073,georgia,carroll
13047,Catoosa County,GA,-85.14471433,34.88942304,georgia,catoosa
13049,Charlton County,GA,-82.16119406,30.7921547,georgia,charlton
13051,Chatham County,GA,-81.13595926,32.00476746,georgia,chatham
13053,Chattahoochee County,GA,-84.78355382,32.34266266,georgia,chattahoochee
13055,Chattooga County,GA,-85.34986264,34.46255073,georgia,chattooga
13057,Cherokee County,GA,-84.48371602,34.2400035,georgia,cherokee
13059,Clarke County,GA,-83.36902144,33.94917379,georgia,clarke
13061,Clay County,GA,-84.99073017,31.6152322,georgia,clay
13063,Clayton County,GA,-84.36930371,33.53593967,georgia,clayton
13065,Clinch County,GA,-82.73413622,30.90478539,georgia,clinch
13067,Cobb County,GA,-84.59204242,33.93685037,georgia,cobb
13069,Coffee County,GA,-82.88746929,31.53717882,georgia,coffee
13071,Colquitt County,GA,-83.79028796,31.17186687,georgia,colquitt
13073,Columbia County,GA,-82.27405924,33.54575416,georgia,columbia
13075,Cook County,GA,-83.44671123,31.14888026,georgia,cook
13077,Coweta County,GA,-84.77744263,33.3436804,georgia,coweta
13079,Crawford County,GA,-83.99398099,32.7239371,georgia,crawford
13081,Crisp County,GA,-83.80834758,31.91661952,georgia,crisp
13083,Dade County,GA,-85.5035161,34.84071621,georgia,dade
13085,Dawson County,GA,-84.17780947,34.43284775,georgia,dawson
13087,Decatur County,GA,-84.58441386,30.87421907,georgia,decatur
13089,DeKalb County,GA,-84.23434944,33.76596772,georgia,de kalb
13091,Dodge County,GA,-83.19740886,32.16915269,georgia,dodge
13093,Dooly County,GA,-83.82943327,32.14807109,georgia,dooly
13095,Dougherty County,GA,-84.23578957,31.51839739,georgia,dougherty
13097,Douglas County,GA,-84.77109554,33.68774153,georgia,douglas
13099,Early County,GA,-84.91893736,31.31432899,georgia,early
13101,Echols County,GA,-82.90209515,30.70185522,georgia,echols
13103,Effingham County,GA,-81.34024961,32.37180931,georgia,effingham
13105,Elbert County,GA,-82.83863532,34.1122056,georgia,elbert
13107,Emanuel County,GA,-82.32017701,32.60247501,georgia,emanuel
13109,Evans County,GA,-81.89152732,32.16230306,georgia,evans
13111,Fannin County,GA,-84.33604378,34.85625252,georgia,fannin
13113,Fayette County,GA,-84.5114642,33.40219233,georgia,fayette
13115,Floyd County,GA,-85.22545302,34.24745188,georgia,floyd
13117,Forsyth County,GA,-84.13572732,34.22642035,georgia,forsyth
13119,Franklin County,GA,-83.22942359,34.37667294,georgia,franklin
13121,Fulton County,GA,-84.46752958,33.79483773,georgia,fulton
13123,Gilmer County,GA,-84.46489794,34.67575066,georgia,gilmer
13125,Glascock County,GA,-82.62674663,33.2248281,georgia,glascock
13127,Glynn County,GA,-81.59216844,31.24237507,georgia,glynn
13129,Gordon County,GA,-84.89193294,34.49171872,georgia,gordon
13131,Grady County,GA,-84.24304575,30.87015367,georgia,grady
13133,Greene County,GA,-83.17051362,33.57358107,georgia,greene
13135,Gwinnett County,GA,-84.03339909,33.94915967,georgia,gwinnett
